age,major,gpa,application_order,study_time_week,daytime/evening_classes,attendance,extracurriculars,previous_qualification,displaced,entertainment_hours,work,average_sleep,mental_health
17,,2.929195591667681,,19.833722807854716,,7,0,,,,,,
18,,3.042914833436377,,15.40875605584674,,0,0,,,,,,
15,,0.1126022544661815,,4.21056976881226,,26,0,,,,,,
17,,2.0542181397029484,,10.028829473958217,,14,1,,,,,,
17,,1.2880611817953875,,4.6724952729713305,,17,0,,,,,,
18,,3.0841836144863937,,8.191218545250186,,0,1,,,,,,
15,,2.748237414891583,,15.601680474699297,,10,0,,,,,,
15,,1.360142712316461,,15.424496305808074,,22,1,,,,,,
17,,2.896819189513569,,4.562007558047703,,1,0,,,,,,
16,,3.5734742103297656,,18.4444663630972,,0,1,,,,,,
17,,2.1471716250185144,,11.851363655296536,,11,0,,,,,,
17,,1.5595945190402771,,7.59848581924029,,15,0,,,,,,
17,,1.520077814874808,,10.038711615617212,,21,1,,,,,,
17,,1.7515809583340785,,12.101425068754876,,21,0,,,,,,
18,,2.396788117124796,,11.197810636915708,,9,0,,,,,,
15,,1.3415207165346672,,9.728100710723565,,17,0,,,,,,
18,,2.232175277715976,,10.098656081788002,,14,1,,,,,,
18,,1.3844041756940335,,3.5282382085577235,,16,0,,,,,,
18,,0.4695533233798704,,16.25465808609359,,29,1,,,,,,
17,,2.3957840945307,,10.835206398820308,,9,0,,,,,,
16,,2.778411299920653,,2.621597234094062,,2,0,,,,,,
15,,0.3468940367050148,,15.32314203165556,,25,1,,,,,,
16,,0.3125462305253549,,18.648879567547016,,29,0,,,,,,
18,,1.7701318767799732,,18.94613798473924,,20,1,,,,,,
18,,1.5051556220362858,,7.380354648223455,,15,0,,,,,,
16,,2.977851918315743,,2.7103374712150807,,5,0,,,,,,
16,,2.948717671911921,,10.367992532661304,,2,0,,,,,,
16,,2.145204720467192,,2.2521845869844137,,8,0,,,,,,
18,,2.854803928981318,,18.679748370252344,,10,1,,,,,,
18,,1.519441725815139,,3.67159254710292,,20,1,,,,,,
15,,1.727120309522409,,5.055317199023282,,12,0,,,,,,
15,,1.8475354711387904,,8.132730537699409,,17,0,,,,,,
18,,0.3846169728564877,,7.663289371182516,,25,0,,,,,,
16,,0.94940609779728,,15.89325784795778,,21,1,,,,,,
16,,1.1409594184203395,,9.126336411019247,,27,1,,,,,,
15,,0.2614722600507521,,3.415365200066738,,23,0,,,,,,
18,,0.2182848568210317,,5.344197909721482,,26,0,,,,,,
15,,1.0677635510419796,,10.18226770375044,,21,0,,,,,,
15,,3.0189058584279675,,2.949078348522698,,3,1,,,,,,
17,,1.5268678317927231,,12.233113512920282,,21,1,,,,,,
17,,1.0582873996898603,,11.314946131022918,,23,0,,,,,,
17,,2.625128097732231,,14.294046327645152,,7,0,,,,,,
16,,2.8087548220286536,,18.754092307587356,,12,0,,,,,,
18,,2.888891669272444,,18.245091222023117,,9,0,,,,,,
18,,4.0,,18.921512361376628,,1,1,,,,,,
18,,2.515300272256249,,4.894311940474019,,7,0,,,,,,
18,,2.5637654300150947,,2.6313061327870924,,5,1,,,,,,
17,,1.7036118032323682,,6.04553400992897,,15,0,,,,,,
16,,2.0998851567205854,,17.90170345532629,,17,0,,,,,,
16,,2.4610469629080955,,19.441069492469765,,16,1,,,,,,
17,,2.935477191694632,,17.18649902140952,,5,0,,,,,,
16,,1.9863780592187463,,2.200354422550872,,12,1,,,,,,
17,,1.5715441913992825,,18.948559961195865,,22,0,,,,,,
18,,1.6643106896610833,,8.46716054701572,,13,0,,,,,,
17,,0.7562591665741925,,0.1862058152470735,,29,1,,,,,,
18,,0.8027695392342074,,8.847874814963872,,25,0,,,,,,
18,,1.3423871779577343,,0.9213833935093518,,20,0,,,,,,
15,,0.2865712882866222,,10.87755842322235,,29,1,,,,,,
17,,2.61383869367367,,6.771080548741026,,9,0,,,,,,
15,,0.9290125546259368,,9.468698671880976,,23,0,,,,,,
17,,1.892758695926592,,12.26340721486234,,10,1,,,,,,
17,,2.331261549308754,,17.376021916356407,,12,0,,,,,,
15,,2.234238472600233,,13.238031529438572,,11,0,,,,,,
15,,2.3858282190764624,,8.680977369563614,,8,0,,,,,,
17,,3.347356743507809,,16.388557073407302,,3,0,,,,,,
16,,3.2618553073332905,,18.111642751462643,,6,1,,,,,,
18,,1.0396238791477144,,2.3951993286439444,,23,0,,,,,,
15,,0.0278186247324679,,10.638659551055827,,28,0,,,,,,
18,,1.3299645378768772,,5.690239194848883,,21,0,,,,,,
16,,3.283916521897384,,0.941223957538948,,1,0,,,,,,
16,,2.937454182316864,,13.370933902279706,,6,1,,,,,,
16,,0.7388682028052602,,17.255415549184512,,28,0,,,,,,
15,,2.556801662833417,,3.258053089547881,,8,1,,,,,,
16,,3.300928568970799,,16.24827315247801,,4,0,,,,,,
15,,2.200682946560561,,17.067914670738833,,14,1,,,,,,
16,,1.8558655731681932,,18.28680885332967,,17,0,,,,,,
18,,2.734401494419992,,5.305701781721048,,3,0,,,,,,
18,,2.1317372971872284,,18.079061303797783,,18,1,,,,,,
17,,0.9797699107752862,,6.413255094728645,,19,0,,,,,,
